,Continent,Population,Total (km2),Km2_person
4,Oceania,42019638,8514379.0,0.20262856619564404
3,North America,586569152,24393692.0,0.04158706934523553
5,South America,426908614,17745029.0,0.041566340940592965
2,Europe,746961814,23149819.0,0.030991971163869966
0,Africa,1185561387,27039456.0,0.022807301499943335
1,Asia,4516395203,31870744.0,0.007056677409193502
